Line_ID,Compute_PF_Days,Test_Loss
1,1.00e-09,6.95
1,1.32e-09,6.88
1,1.74e-09,6.79
1,2.30e-09,6.72
1,3.04e-09,6.67
1,4.01e-09,6.63
1,5.30e-09,6.59
1,6.99e-09,6.61
1,9.24e-09,6.60
1,1.22e-08,6.58
1,1.61e-08,6.58
1,2.13e-08,6.59
1,2.81e-08,6.59
1,3.71e-08,6.60
1,4.90e-08,6.60
1,6.47e-08,6.63
1,8.54e-08,6.65
1,1.13e-07,6.66
1,1.49e-07,6.68
1,1.97e-07,6.72
1,2.60e-07,6.72
1,3.43e-07,6.74
1,4.53e-07,6.72
1,5.98e-07,6.74
1,7.90e-07,6.73
1,1.04e-06,6.71
1,1.38e-06,6.70
1,1.82e-06,6.66
1,2.40e-06,6.66
1,3.16e-06,6.67
2,1.61e-09,6.95
2,2.07e-09,6.86
2,2.67e-09,6.77
2,3.44e-09,6.69
2,4.44e-09,6.64
2,5.72e-09,6.59
2,7.37e-09,6.55
2,9.49e-09,6.52
2,1.22e-08,6.50
2,1.58e-08,6.52
2,2.03e-08,6.53
2,2.62e-08,6.53
2,3.37e-08,6.53
2,4.34e-08,6.53
2,5.59e-08,6.52
2,7.21e-08,6.52
2,9.28e-08,6.55
2,1.20e-07,6.54
2,1.54e-07,6.53
2,1.99e-07,6.52
2,2.56e-07,6.52
2,3.30e-07,6.55
2,4.25e-07,6.56
2,5.47e-07,6.58
2,7.05e-07,6.58
2,9.08e-07,6.56
2,1.17e-06,6.57
2,1.51e-06,6.54
2,1.94e-06,6.53
2,2.50e-06,6.51
3,2.58e-09,6.95
3,3.25e-09,6.85
3,4.09e-09,6.75
3,5.15e-09,6.67
3,6.48e-09,6.61
3,8.16e-09,6.56
3,1.03e-08,6.52
3,1.29e-08,6.48
3,1.63e-08,6.47
3,2.05e-08,6.47
3,2.58e-08,6.46
3,3.25e-08,6.43
3,4.09e-08,6.43
3,5.15e-08,6.44
3,6.48e-08,6.44
3,8.16e-08,6.44
3,1.03e-07,6.43
3,1.29e-07,6.44
3,1.63e-07,6.45
3,2.05e-07,6.46
3,2.58e-07,6.43
3,3.25e-07,6.43
3,4.09e-07,6.42
3,5.15e-07,6.44
3,6.48e-07,6.44
3,8.16e-07,6.46
3,1.03e-06,6.47
3,1.29e-06,6.45
3,1.63e-06,6.46
3,2.05e-06,6.48
4,4.14e-09,6.95
4,5.10e-09,6.84
4,6.27e-09,6.74
4,7.69e-09,6.66
4,9.44e-09,6.59
4,1.16e-08,6.53
4,1.43e-08,6.48
4,1.77e-08,6.44
4,2.18e-08,6.41
4,2.69e-08,6.40
4,3.31e-08,6.39
4,4.08e-08,6.38
4,5.03e-08,6.37
4,6.20e-08,6.35
4,7.64e-08,6.34
4,9.41e-08,6.34
4,1.16e-07,6.33
4,1.43e-07,6.34
4,1.77e-07,6.36
4,2.18e-07,6.35
4,2.69e-07,6.37
4,3.31e-07,6.39
4,4.08e-07,6.38
4,5.03e-07,6.36
4,6.20e-07,6.36
4,7.64e-07,6.37
4,9.41e-07,6.39
4,1.16e-06,6.39
4,1.43e-06,6.40
4,1.77e-06,6.40
5,6.65e-09,6.95
5,7.99e-09,6.83
5,9.61e-09,6.73
5,1.15e-08,6.64
5,1.39e-08,6.56
5,1.67e-08,6.50
5,2.00e-08,6.44
5,2.41e-08,6.40
5,2.89e-08,6.36
5,3.48e-08,6.34
5,4.18e-08,6.31
5,5.03e-08,6.30
5,6.04e-08,6.29
5,7.26e-08,6.28
5,8.72e-08,6.26
5,1.05e-07,6.26
5,1.26e-07,6.26
5,1.51e-07,6.27
5,1.82e-07,6.26
5,2.18e-07,6.28
5,2.62e-07,6.31
5,3.15e-07,6.30
5,3.79e-07,6.31
5,4.55e-07,6.30
5,5.47e-07,6.29
5,6.59e-07,6.29
5,7.93e-07,6.28
5,9.52e-07,6.29
5,1.14e-06,6.29
5,1.37e-06,6.32
6,1.07e-08,6.95
6,1.26e-08,6.83
6,1.49e-08,6.72
6,1.75e-08,6.63
6,2.06e-08,6.55
6,2.42e-08,6.48
6,2.85e-08,6.42
6,3.36e-08,6.37
6,3.95e-08,6.32
6,4.65e-08,6.29
6,5.47e-08,6.26
6,6.44e-08,6.24
6,7.58e-08,6.22
6,8.91e-08,6.20
6,1.05e-07,6.19
6,1.23e-07,6.18
6,1.45e-07,6.19
6,1.71e-07,6.18
6,2.01e-07,6.18
6,2.37e-07,6.20
6,2.78e-07,6.21
6,3.27e-07,6.22
6,3.85e-07,6.21
6,4.53e-07,6.21
6,5.33e-07,6.20
6,6.27e-07,6.22
6,7.38e-07,6.24
6,8.69e-07,6.25
6,1.02e-06,6.23
6,1.20e-06,6.23
7,1.71e-08,6.95
7,1.99e-08,6.82
7,2.31e-08,6.71
7,2.69e-08,6.61
7,3.13e-08,6.53
7,3.63e-08,6.46
7,4.23e-08,6.39
7,4.92e-08,6.33
7,5.72e-08,6.28
7,6.65e-08,6.24
7,7.74e-08,6.20
7,9.01e-08,6.17
7,1.05e-07,6.15
7,1.22e-07,6.13
7,1.42e-07,6.12
7,1.65e-07,6.12
7,1.92e-07,6.12
7,2.23e-07,6.10
7,2.59e-07,6.12
7,3.02e-07,6.12
7,3.50e-07,6.15
7,4.07e-07,6.15
7,4.74e-07,6.15
7,5.51e-07,6.15
